file_path,label
disposable_plastic_cutlery\augmented_100_0_1613.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_100_0_2093.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_100_0_2996.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_100_0_3902.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_100_0_5761.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_100_0_5869.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_100_0_7229.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_100_0_7611.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_100_0_8636.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_100_0_9087.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_101_0_1650.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_101_0_1810.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_101_0_2852.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_101_0_3004.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_101_0_3332.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_101_0_5856.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_101_0_6764.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_101_0_8131.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_101_0_8472.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_101_0_9208.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_102_0_2413.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_102_0_4061.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_102_0_4248.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_102_0_5855.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_102_0_6563.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_102_0_6643.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_102_0_7689.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_102_0_9357.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_102_0_9660.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_102_0_9665.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_103_0_1083.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_103_0_1300.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_103_0_2398.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_103_0_5058.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_103_0_6734.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_103_0_7008.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_103_0_7883.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_103_0_8076.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_103_0_8709.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_103_0_9963.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_104_0_1284.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_104_0_1982.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_104_0_3741.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_104_0_4362.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_104_0_4507.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_104_0_5125.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_104_0_5378.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_104_0_8644.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_104_0_9270.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_104_0_9993.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_105_0_1790.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_105_0_2025.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_105_0_2415.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_105_0_2818.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_105_0_4340.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_105_0_4922.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_105_0_6451.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_105_0_700.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_105_0_7518.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_105_0_9789.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_106_0_1102.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_106_0_233.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_106_0_3069.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_106_0_3475.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_106_0_4885.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_106_0_4901.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_106_0_6042.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_106_0_6115.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_106_0_6820.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_106_0_7868.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_107_0_3107.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_107_0_3249.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_107_0_4089.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_107_0_4315.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_107_0_4800.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_107_0_4830.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_107_0_5020.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_107_0_5458.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_107_0_6834.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_107_0_6995.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_108_0_2011.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_108_0_2427.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_108_0_2584.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_108_0_2652.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_108_0_3854.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_108_0_4111.png,disposable_plastic_cutlery
disposable_plastic_cutlery\augmented_108_0_4854.png,disposable_plastic_cutlery
